105128;Thumb Up
21610;Pushing Hand Away
138719;Thumb Up
43350;Zooming In With Full Hand
28142;Swiping Up
70520;Pushing Hand Away
96275;Zooming In With Two Fingers
755;Stop Sign
97036;Pushing Hand Away
45640;Shaking Hand
115146;Zooming In With Two Fingers
96486;Sliding Two Fingers Down
32189;Doing other things
144488;Sliding Two Fingers Down
143790;Doing other things
94641;Zooming In With Two Fingers
86267;No gesture
102969;Thumb Down
146676;Turning Hand Counterclockwise
47220;Zooming Out With Full Hand
121202;Sliding Two Fingers Right
81401;Sliding Two Fingers Right
74326;Swiping Down
123544;Pulling Two Fingers In
41915;Shaking Hand
122234;Pulling Two Fingers In
61840;Zooming In With Two Fingers
20901;Shaking Hand
135908;Shaking Hand
64185;Turning Hand Counterclockwise
100329;Drumming Fingers
57583;Swiping Down
50503;Swiping Left
28928;Shaking Hand
93166;Swiping Down
58264;Turning Hand Clockwise
95384;Turning Hand Clockwise
37294;Doing other things
84052;Stop Sign
43477;Pushing Hand Away
4289;Sliding Two Fingers Right
77470;Doing other things
93921;Zooming Out With Full Hand
94806;Stop Sign
16494;Rolling Hand Backward
28380;Doing other things
127546;Pushing Hand Away
35973;Pulling Hand In
42959;Pushing Hand Away
687;Thumb Up
116981;Thumb Down
119010;Doing other things
134189;Shaking Hand
52556;Pushing Hand Away
98580;Zooming Out With Full Hand
23358;Doing other things
34328;Swiping Left
29910;Thumb Down
74405;Swiping Down
102343;Doing other things
92275;Sliding Two Fingers Left
101348;Swiping Down
147705;Zooming Out With Two Fingers
31692;Swiping Left
122207;Doing other things
126233;Swiping Up
32716;Shaking Hand
128825;Swiping Right
40489;Sliding Two Fingers Left
95522;Thumb Down
94562;Rolling Hand Forward
135949;Rolling Hand Forward
69946;Rolling Hand Forward
113691;Zooming Out With Two Fingers
48306;Thumb Up
121320;Swiping Up
9096;No gesture
81264;Zooming In With Two Fingers
1002;Zooming Out With Two Fingers
121257;Sliding Two Fingers Down
24717;Sliding Two Fingers Down
31269;Zooming In With Full Hand
97743;Zooming Out With Full Hand
143957;Stop Sign
29041;Zooming In With Full Hand
75061;Swiping Right
32110;Swiping Left
16189;Zooming Out With Two Fingers
116038;Shaking Hand
99435;Pulling Two Fingers In
128151;Stop Sign
61753;Thumb Down
132778;Sliding Two Fingers Right
104164;Doing other things
24272;Swiping Up
29783;Rolling Hand Forward
79110;Sliding Two Fingers Up
141041;Doing other things
101795;Doing other things
16668;Swiping Up
62968;Drumming Fingers
102664;Zooming In With Two Fingers
3626;Shaking Hand
44408;Shaking Hand
93351;Rolling Hand Forward
105604;Doing other things
